1, 钱, 现金,4.58,3,5,4,5,5,4.5,4.5,4,5,4.7,5,4,4.5,5,5,4.7,3,4.5,5,5,5,4.5,5,4.6,5,,
2,运算,计算,4.137037037,0.7,4,3,5,4.5,4,4.5,4.2,4,4,3,5,5,5,4.5,4.9,5,3.5,5,5,5,5,4,3,3.8,4.6,2.5
3,喝,嘴,4.07037037,4,4.8,5,5,4.8,3,4,4.3,5,5,5,3,4,4,5,4,3.5,2,1,4.7,5,3,4.5,5,4.8,4.5,2
4,钱,货币,3.896296296,2.6,4.8,3.5,5,4,2,4,3,3,3,4,3,4.5,4,4,5,5,1,5,5,5,4.5,4.5,3,4.8,3.5,4.5
5,轿车,汽车,3.703703704,4,4.5,4.5,4.5,2.5,3.5,3,2,2,2.4,4.7,5,4,4.5,5,4,3,4.2,4,4,3,4,5,1.2,4.5,5,2
6,中午,正午,3.696,2,4,2,4.8,2,4.5,5,2.5,3,4,4.5,3.5,4,4,4.6,3,4.6,4,4,4,3,3.9,4,3.5,4,,
7,炉,炉灶,3.62962963,3,3.5,3.5,4.5,4.5,4.1,4.5,5,4,1.4,5,3,1,4,2.5,4,4,5,4.8,4,3,5,5,0.7,2.5,4,2.5
8,律师,证据,3.474074074,4,4,2.5,3,4,2,5,2,3,3.5,2.5,2,4,4.5,3,4.5,5,3.5,4.5,4,5,3,4,0,3.5,3,4.8
9,医生,负责,3.396296296,4,4.6,3.5,5,4.5,1.3,3,2,2,0,3,4,3.5,4.5,5,3,3.5,4.5,1,4.8,3,2,5,4.5,3.5,4,3
10,治疗,恢复,3.277777778,4,4.8,4,5,4,3.1,4.5,1,2.5,2.5,4,2.5,3.8,4,5,4,3.5,4,1.5,4.3,4,1,4.5,1.8,1.2,3,1
11,电影,剧院,3.022222222,1.9,3.5,2,4,3.5,3,3,3.7,3,4,2.5,4,3,1,4,3,4,1,1,3,4,2.5,4,3,4.5,3,2.5
12,竞争,价格,3.018518519,3,2,3.8,3,4.1,3,2.5,2,4,2,0.5,0.3,4,4.1,4.5,2,3.2,3.8,4,3,5,4,1.5,2,2.3,3,4.9
13,生命,死亡,2.803703704,3,4,3.8,2,3,5,2.5,2,0,4,0.1,1.3,1.5,3,3,3,4,3,5,5,5,3,2.5,0,0,2,5
14,心理学,佛洛依德,2.737037037,0.2,3,4,4,1,1,4,4,4,5,4,3,0.5,0,2.5,1.2,4,1,3,4,3,3,4,2,3,4.5,1
15,水,渗漏,2.651851852,3,4,3.5,4,2,3.8,2,4,4.5,0,0,3,2.5,3.5,3.9,3.5,2,2,1,2,2,0.3,3,1.8,4.3,4,2
16,计算机,键盘,2.555555556,1.1,4.9,2,2,3,3,4,3,1,4,3,3,0.5,1,1,3,3,1,2,5,2,2,4,4,2.8,2.7,1
17,心理学,精神病学,2.388888889,1,3,2,3,3,1,3,4.3,2,2,2,4,3,2,2.5,0.5,3,2.5,3,4,0,2,4,1.5,2.5,1.2,2.5
18,天气,预报,2.34,0.9,3,4,4,4,1.5,3,1.5,2,2,3,2.5,1,4,3.5,2,3.7,2,4.4,2,1,1,1.9,0,0.6,,
19,情侣,争吵,2.288888889,1.5,2,2.3,3,4.5,2,2.5,1,0,2,0.5,3.8,0.5,3,4,3,3,1,4,3,3,3,1.5,0.5,1.1,2,4.1
20,杂货店,钱,2.248148148,2,1,3.8,2,1,2,4,2,3,1,1,2,1.5,2,3,1,2,3,4.5,5,3,4,0,0.8,1.6,2.5,2
21,鸟,鹤,2.2,2,4,2,2,1,1,2,1,2,0.9,2,2.5,3,1.5,3,1,3.2,3.8,5,3,1,3.1,1,2.5,1.5,,
22,信用,信息,2.17037037,0.5,2,0,0,0,1,40,0,2,0,2,1,0.1,0,0.5,0,1,0,3,1,0,0.5,1,1,0,2,0
23,男人,管理者,2.17037037,3,3,2.5,3.5,4.3,3.6,2,2,0,0,2,2,2.5,2.5,2,0,1,3,2,2.5,2.5,0,3,2.7,2,3,2
24,钱,洗钱,2.166666667,2,3,3.5,5,3.7,2,2,0,0,0,2.5,2,1,3,2.5,2,3,2.6,3,2,4,1,1,0.2,2,3,2.5
25,火车,汽车,2.166666667,1.2,2,2.5,3,3,1,4,4,2,4.5,2,1,0.5,4,2.5,0.5,2,1,1,3,0,3,3.5,2,1,2.3,2
26,心理学,焦虑,2.148148148,1.1,4,3,2,1,2,4,4.5,3,2,2,3,3,1,3,0.1,3,1,3,3,1,1,3,1.5,1,0.8,1
27,飞机,汽车,2.07037037,1.1,2,2,3,3,1,4,4,2,4.5,2,3,0.5,1,2.5,0.5,2,1,1,1,0,2.5,3.5,2,2.3,2.5,2
28,工具,用,2.032,0,3,3,1,2,1.5,2,0,3,0,4,3,4,3.8,2.6,0,2.6,4.8,4,2,1,1.8,0.7,0,1,,
29,信用,卡,2.02962963,1,0,3.8,2,1,4,5,0,5,2,2,0,1,2,3,2,1.5,1,4.9,3,0.5,4,1.5,0,0,0,4.6
30,星座,行星,2.022222222,0.1,3,2,3,4.5,1,4,1,3,4.5,1,3,1,3,3,1.5,1,2,0,1,3,1,2,1,1,2,2
31,鸟,公鸡,2.02,2,3.5,1,3.8,4,0.5,3,0,2.7,0.5,3,0,3,1,2,1,3,2,4.5,1,0,3.4,2.6,2.5,0.5,,
32,食物,公鸡,1.896296296,1,2.1,3,2.5,2.5,0.8,1,1,2.5,0.3,3,2,3.7,2,3,2,2,0,2,2,3,0.5,3,0.8,1.3,3,1.2
33,心理学,诊所,1.866666667,1.2,1.5,3,0,1.5,2,2.5,4.5,3.5,2,2,3,1,0,2,0.1,3,1,3,2,2,0.5,3,1.5,3,0.6,1
34,公正,利益,1.814814815,0.9,2,4,0,0.5,3,1,0.1,2.1,5,1,3,1,0,3,0.1,1,2,2,1,1,0,4,3,3,2.3,3
35,旅馆,预订,1.614814815,0.9,3,2,0,0.5,2,2,3.9,2,2,1,2,0,0,2.5,1,2,1,3,1,0,0.5,4,2,2.5,1.8,1
36,琴弦,微笑,1.544444444,1,2,3,1,4,0.2,1,0,2,0,1,2,2.7,1.5,1,2,2,2.4,2,2.3,3,0,1,0.6,2,1,1
37,海岸,森林,1.368,0,0.5,3.5,1,4,1,2,0.5,2.4,0,2,0,0,3,2,1,1.1,2.1,2,1,0,1.2,3.5,0,0.4,,
38,观察,建筑,1.348,0,2,3.5,0,1,0,1,0.5,0.2,0.1,3,0,1,2,4,1,3,3,2.2,1,2,1,1.7,0.5,0,,
39,药物,滥用,1.32963,0.2,3,1,0,0.5,2,4.5,2.5,1.4,0,2.5,0,0.1,0,1,0.1,0.9,0,1,2,3,1,4,2,1,1.7,0.5
40,死亡,吵闹,1.188,0,2,2,0,0,0,1,1.5,1,0,1,0,0,2.5,1,1,4.3,0.5,4,1,0,1,5,0,0.9,,
41,喝,母亲,1.177777778,3,0,0,0,0.5,2,0,0.5,1,1.5,3,0,1,0.5,2,0,2,3.5,0,0,4,0,0,1,2.8,2,1.5
42,几率,女孩,0.740740741,2,0,0,0,2,0,0,0,5,0,0.5,2.5,2.5,2,2.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0
43,小伙子,巫师,0.633333333,1,1,2,2.5,2,0.1,0,0,0,0,0,0,2.5,1,0,0,0,0,0.5,0.1,2,0.5,0,0.1,0.3,1,0.5
44,问题,机场,0.607407407,0.1,0,0,0,0,0,1,1,0,0,2.1,1.9,2,1,0,1,0.5,1,2,0,0,2,0,0,0,0.5,0.3
45,喝,耳朵,0.351851852,0,1,2,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,2,0,0.1,0,0,0,0,0.9,1,0
46,喝,汽水,0.314814815,0,2.5,3.5,0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,股票,CD,0.311111111,0.1,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,1,1,0,0,0,2,1,0,1.3,0
48,产品,徒步,0.174444444,0.01,0,0,0,0,0,0,1.1,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0
49,国王,卷心菜,0.155555556,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
50,中午,线绳,0.062962963,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0
